cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2010,23993.3700598287,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2011,24316.8340566958,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2012,27337.4484622931,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2013,28223.9846860961,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2014,28200.3053075555,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2015,28201.782480658,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2016,28788.2807829826,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2017,29746.1635134444,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2018,28268.5699603472,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002197,Tasa de prevalencia delictiva por cada cien mil habitantes de 18 años y más,2019,24849.0409899977,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2011,69536.3430838591,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2012,66622.6742168644,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2013,72322.456767673,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2014,73254.528023835,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2015,73208.7386078332,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2016,72350.3544778524,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2017,74293.37998006708,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2018,79390.8849104629,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Tasa de personas de 18 años y más que considera insegura su entidad federativa, por cada cien mil habitantes de 18 años y más",2020,78575.7463444582,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2011,39481.7236429844,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2012,38674.1188861193,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2013,44011.3611674174,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2014,45341.6057555258,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2015,44101.17795049,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2016,45386.5108893577,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2017,45986.8988088854,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2018,50060.5008383003,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Tasa de personas de 18 años y más que considera insegura su colonia o localidad, por cada cien mil habitantes de 18 años y más",2020,48737.2827584775,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005816,"Tasa de personas de 18 años y más que considera inseguro su municipio o delegación, por cada cien mil habitantes de 18 años y más",2011,60254.0138121026,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005816,"Tasa de personas de 18 años y más que considera inseguro su municipio o delegación, por cada cien mil habitantes de 18 años y más",2012,58072.7725820219,Casos por cada 100 mil habitantes
00,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005816,"Tasa de personas de 18 años y más que considera inseguro su municipio o delegación, por cada cien mil habitantes de 18 años y más",2013,62966.5118632104,Casos por cada 100 mil habitantes
